slot_epoch_seconds,tape,base_cents,reb_cents,evm_cents,evmplc_cents
1784406600,W01,342.536,114.352,309.839,-28.628
1784406900,W01,424.893,437.186,-34.589,-93.295
1784408100,W01,-327.427,-199.928,175.473,322.293
1784409900,W01,171.827,-117.385,88.287,65.904
1784410200,W01,-256.209,-44.244,48.341,-29.287
1784410500,W01,551.06,751.514,699.213,627.393
1784410800,W01,217.39,243.612,179.665,245.932
1784411100,W01,672.054,788.058,581.438,378.266
1784412300,W01,596.146,405.057,204.559,35.424
1784412600,W01,-53.089,-51.867,125.537,206.449
1784412900,W01,-201.478,-201.478,-281.066,-267.999
1784413200,W01,64.973,31.151,-111.534,-100.737
1784413500,W01,196.019,-61.479,238.107,-80.677
1784414100,W01,205.033,238.594,76.493,116.507
1784416200,W01,-282.832,-257.881,-293.816,-433.153
1784416800,W01,390.837,226.882,19.468,56.354
1784417400,W01,144.359,216.497,-246.575,-148.26
1784417700,W01,-72.149,-59.035,-105.213,38.628
1784418000,W01,85.233,84.738,242.534,260.42
1784418900,W01,188.713,220.157,271.805,273.463
1784419200,W01,433.867,389.309,72.684,221.517
1784419500,W01,386.493,386.493,294.578,345.909
1784427600,W01,-164.063,-148.662,44.931,205.254
1784428800,W01,366.439,366.439,256.316,38.411
1784432100,W01,356.537,765.937,-202.144,28.879
1784434200,W01,131.7,-62.399,-124.188,-176.165
1784438100,W02,131.682,146.215,116.948,487.719
1784442300,W02,114.754,348.574,224.885,124.1
1784447700,W02,244.104,327.405,192.271,-58.124
1784448900,W02,56.989,-36.183,20.928,140.584
1784449200,W02,-58.716,54.674,147.624,-94.52
1784451900,W02,195.906,177.394,80.553,-169.605
1784452200,W02,25.652,29.882,-58.36,81.895
1784452800,W02,276.918,276.918,74.047,30.395
1784454600,W02,-41.719,-79.655,67.31,64.117
1784454900,W02,46.237,279.344,61.951,164.827
1784455200,W02,77.408,77.408,27.019,-86.966
1784455500,W02,-271.114,-122.882,-105.283,46.31
1784456400,W02,83.237,107.729,373.418,296.687
1784456700,W02,415.515,263.936,341.659,233.71
1784457000,W02,-130.985,-98.335,446.437,187.374
1784457300,W02,532.403,242.279,-396.93,-87.292
1784457900,W02,-367.652,-207.906,13.779,240.242
1784458200,W02,99.016,121.792,220.57,103.139
1784458500,W02,-113.404,-80.795,18.295,-42.607
1784458800,W02,276.512,283.941,114.594,39.366
1784459400,W02,202.067,145.168,169.319,-30.122
1784459700,W02,598.018,230.734,474.55,183.349
1784460000,W02,274.547,247.429,654.617,258.931
1784460600,W02,-175.634,372.785,400.091,309.656
1784460900,W02,332.022,356.109,250.589,-50.65
1784461200,W02,-98.63,111.139,205.246,342.536
1784461800,W02,162.995,162.995,-192.058,-292.816
1784462100,W02,-732.542,-732.542,-409.348,-364.007
1784463000,W02,-160.813,-80.163,213.619,17.959
1784463300,W02,168.738,51.536,73.263,65.768
1784464500,W03,225.164,162.123,133.579,121.958
1784464800,W03,360.636,557.24,343.966,-96.328
1784465700,W03,473.247,248.669,291.426,241.747
1784466300,W03,521.99,498.776,814.346,449.945
1784466600,W03,226.645,241.385,168.801,223.784
1784467200,W03,-101.721,-101.721,501.914,307.925
1784467800,W03,231.048,270.744,214.871,184.248
1784468100,W03,-529.571,-477.366,378.677,80.879
1784471100,W03,-224.251,-336.776,127.354,184.887
1784471400,W03,-285.113,-33.725,248.228,291.238
1784471700,W03,55.568,-291.991,396.66,106.112
1784472600,W03,476.308,630.443,274.828,-102.224
1784472900,W03,-379.251,-340.777,218.762,-90.614
1784473200,W03,205.556,197.789,206.215,209.015
1784473500,W03,18.771,202.451,299.166,105.72
1784474700,W03,114.291,114.291,204.719,101.278
